actual,predicted,valid_json
4,4.0,True
5,5.0,True
3,4.0,True
1,1.0,True
5,5.0,True
4,4.0,True
4,4.0,True
4,5.0,True
5,,False
1,1.0,True
4,5.0,True
5,,False
3,,False
4,,False
5,5.0,True
2,,False
4,2.0,True
4,4.0,True
5,5.0,True
5,4.0,True
5,5.0,True
5,5.0,True
1,,False
4,4.0,True
4,,False
4,,False
1,,False
4,4.0,True
2,,False
2,2.0,True
1,,False
1,,False
3,4.0,True
4,4.0,True
5,5.0,True
5,,False
5,,False
5,,False
4,4.0,True
2,1.0,True
3,2.0,True
1,1.0,True
1,,False
3,1.0,True
4,5.0,True
4,,False
4,4.0,True
5,5.0,True
4,,False
1,,False
1,,False
3,3.0,True
4,4.0,True
4,4.0,True
4,4.0,True
3,,False
5,,False
5,5.0,True
5,5.0,True
1,,False
2,1.0,True
2,1.0,True
4,,False
3,3.0,True
4,,False
2,2.0,True
5,5.0,True
5,5.0,True
2,,False
4,5.0,True
3,,False
2,,False
5,,False
4,5.0,True
3,,False
5,5.0,True
2,2.0,True
5,,False
3,4.0,True
5,,False
4,5.0,True
4,4.0,True
4,,False
4,,False
4,,False
5,4.0,True
5,5.0,True
4,4.0,True
4,4.0,True
3,4.0,True
4,5.0,True
3,2.0,True
3,2.0,True
5,5.0,True
4,4.0,True
5,,False
4,,False
4,,False
4,4.0,True
2,,False
4,,False
5,5.0,True
4,5.0,True
4,,False
2,,False
3,,False
1,1.0,True
2,,False
5,,False
5,5.0,True
4,4.0,True
4,5.0,True
4,5.0,True
3,4.0,True
5,5.0,True
4,5.0,True
3,3.0,True
1,,False
5,5.0,True
3,4.0,True
1,,False
5,5.0,True
4,4.0,True
4,4.0,True
4,,False
4,,False
4,,False
4,5.0,True
5,5.0,True
4,5.0,True
3,4.0,True
4,4.0,True
3,4.0,True
4,4.0,True
5,5.0,True
5,5.0,True
4,4.0,True
3,4.0,True
4,,False
4,4.0,True
1,2.0,True
5,5.0,True
4,4.0,True
4,4.0,True
3,,False
5,5.0,True
5,5.0,True
4,4.0,True
4,5.0,True
3,3.0,True
4,5.0,True
5,,False
5,4.0,True
4,,False
2,2.0,True
5,5.0,True
4,4.0,True
1,1.0,True
2,2.0,True
3,,False
4,,False
2,,False
1,,False
4,5.0,True
4,4.0,True
5,,False
4,5.0,True
4,4.0,True
4,,False
4,,False
3,,False
3,,False
4,,False
5,5.0,True
5,5.0,True
4,,False
3,2.0,True
1,1.0,True
3,,False
4,5.0,True
3,5.0,True
5,5.0,True
5,4.0,True
5,5.0,True
4,4.0,True
2,3.0,True
4,4.0,True
3,,False
5,5.0,True
5,5.0,True
3,,False
4,,False
5,5.0,True
3,,False
5,,False
4,5.0,True
4,5.0,True
3,4.0,True
4,5.0,True
5,,False
